,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
928,No account,30,existing credits paid back duly till now,radio/television,1867,unknown/no savings account,>7 yrs,4,none,4,car or other,58,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
929,<0,12,delay in paying off in the past,car (new),1344,<100,1-4 yrs,4,none,2,real estate,43,none,rent,2,unskilled - resident,2,none,yes,good,single,male,2,1
930,<0,24,existing credits paid back duly till now,furniture/equipment,1747,<100,<1 yr,4,co-applicant,1,savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,none,no,good,single,male,1,1
931,0-200,9,existing credits paid back duly till now,radio/television,1670,<100,<1 yr,4,none,2,car or other,22,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
932,No account,9,critical account/other credits existing (not at this bank),car (new),1224,<100,1-4 yrs,3,none,1,real estate,30,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
933,No account,12,critical account/other credits existing (not at this bank),radio/television,522,500-1000,>7 yrs,4,none,4,savings agreement/life insurance,42,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
934,<0,12,existing credits paid back duly till now,radio/television,1498,<100,1-4 yrs,4,none,1,car or other,23,bank,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
935,0-200,30,delay in paying off in the past,radio/television,1919,100-500,<1 yr,4,none,3,unknown/no property,30,stores,rent,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,bad,single,male,1,0
936,>=200,9,existing credits paid back duly till now,radio/television,745,<100,1-4 yrs,3,none,2,real estate,28,none,rent,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,2,0
937,0-200,6,existing credits paid back duly till now,radio/television,2063,<100,<1 yr,4,none,3,car or other,30,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,married/widowed,male,1,1
938,0-200,60,existing credits paid back duly till now,education,6288,<100,1-4 yrs,4,none,4,unknown/no property,42,none,free,1,skilled employee / official,1,none,yes,bad,single,male,2,0
939,No account,24,critical account/other credits existing (not at this bank),car (used),6842,unknown/no savings account,1-4 yrs,2,none,4,savings agreement/life insurance,46,none,rent,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,2,1
940,No account,12,existing credits paid back duly till now,car (new),3527,unknown/no savings account,<1 yr,2,none,3,savings agreement/life insurance,45,none,rent,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,1,1
941,No account,10,existing credits paid back duly till now,car (new),1546,<100,1-4 yrs,3,none,2,real estate,31,none,rent,1,unskilled - resident,2,none,no,good,single,male,2,1
942,No account,24,existing credits paid back duly till now,furniture/equipment,929,unknown/no savings account,4-7 yrs,4,none,2,car or other,31,stores,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
943,No account,4,critical account/other credits existing (not at this bank),car (new),1455,<100,4-7 yrs,2,none,1,real estate,42,none,rent,3,unskilled - resident,2,none,yes,good,single,male,3,1
944,<0,15,existing credits paid back duly till now,furniture/equipment,1845,<100,<1 yr,4,guarantor,1,savings agreement/life insurance,46,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
945,0-200,48,no credits taken / paid back duly,car (new),8358,500-1000,<1 yr,1,none,1,car or other,30,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
946,<0,24,all credits at this bank paid back duly,furniture/equipment,3349,500-1000,<1 yr,4,none,4,unknown/no property,30,none,free,1,skilled employee / official,2,"yes, registered",yes,bad,single,male,1,0
947,No account,12,existing credits paid back duly till now,car (new),2859,unknown/no savings account,unemployed,4,none,4,unknown/no property,38,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
948,No account,18,existing credits paid back duly till now,furniture/equipment,1533,<100,<1 yr,4,co-applicant,1,savings agreement/life insurance,43,none,rent,1,unskilled - resident,2,none,yes,bad,married/widowed,male,1,0
949,No account,24,existing credits paid back duly till now,radio/television,3621,100-500,>7 yrs,2,none,4,car or other,31,none,rent,2,skilled employee / official,1,none,yes,bad,single,male,4,0
950,0-200,18,critical account/other credits existing (not at this bank),business,3590,<100,unemployed,3,none,3,car or other,40,none,rent,3,unemployed/ unskilled - non-resident,2,"yes, registered",yes,good,married/widowed,male,0,1
951,<0,36,delay in paying off in the past,business,2145,<100,4-7 yrs,2,none,1,car or other,24,none,rent,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,3,0
952,0-200,24,existing credits paid back duly till now,car (used),4113,500-1000,<1 yr,3,none,4,car or other,28,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
953,No account,36,existing credits paid back duly till now,furniture/equipment,10974,<100,unemployed,4,none,2,car or other,26,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,0,0
954,<0,12,existing credits paid back duly till now,car (new),1893,<100,1-4 yrs,4,guarantor,4,savings agreement/life insurance,29,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
955,<0,24,critical account/other credits existing (not at this bank),radio/television,1231,>=1000,>7 yrs,4,none,4,savings agreement/life insurance,57,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
956,>=200,30,critical account/other credits existing (not at this bank),radio/television,3656,unknown/no savings account,>7 yrs,4,none,4,savings agreement/life insurance,49,stores,rent,2,unskilled - resident,1,none,yes,good,single,male,4,1
957,0-200,9,critical account/other credits existing (not at this bank),radio/television,1154,<100,>7 yrs,2,none,4,real estate,37,none,rent,3,unskilled - resident,1,none,yes,good,single,male,4,1
958,<0,28,existing credits paid back duly till now,car (new),4006,<100,1-4 yrs,3,none,2,car or other,45,none,rent,1,unskilled - resident,1,none,yes,bad,single,male,2,0
959,0-200,24,existing credits paid back duly till now,furniture/equipment,3069,100-500,>7 yrs,4,none,4,unknown/no property,30,none,free,1,skilled employee / official,1,none,yes,good,single,male,4,1
960,No account,6,critical account/other credits existing (not at this bank),radio/television,1740,<100,>7 yrs,2,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes,good,married/widowed,male,4,1
961,0-200,21,delay in paying off in the past,car (new),2353,<100,1-4 yrs,1,none,4,savings agreement/life insurance,47,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated,male,2,1
962,No account,15,existing credits paid back duly till now,car (new),3556,unknown/no savings account,1-4 yrs,3,none,2,unknown/no property,29,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
963,No account,24,existing credits paid back duly till now,radio/television,2397,500-1000,>7 yrs,3,none,2,car or other,35,bank,rent,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,4,0
964,0-200,6,existing credits paid back duly till now,repairs,454,<100,<1 yr,3,none,1,savings agreement/life insurance,22,none,rent,1,unskilled - resident,1,none,yes,good,married/widowed,male,1,1
965,0-200,30,existing credits paid back duly till now,radio/television,1715,unknown/no savings account,1-4 yrs,4,none,1,car or other,26,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
966,0-200,27,critical account/other credits existing (not at this bank),radio/television,2520,500-1000,1-4 yrs,4,none,2,savings agreement/life insurance,23,none,rent,2,unskilled - resident,1,none,yes,bad,single,male,2,0
967,No account,15,existing credits paid back duly till now,radio/television,3568,<100,>7 yrs,4,none,2,car or other,54,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
968,No account,42,existing credits paid back duly till now,radio/television,7166,unknown/no savings account,4-7 yrs,2,none,4,savings agreement/life insurance,29,none,own,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,3,1
969,<0,11,critical account/other credits existing (not at this bank),car (new),3939,<100,1-4 yrs,1,none,2,real estate,40,none,rent,2,unskilled - resident,2,none,yes,good,single,male,2,1
970,0-200,15,existing credits paid back duly till now,repairs,1514,100-500,1-4 yrs,4,guarantor,2,real estate,22,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
971,No account,24,existing credits paid back duly till now,car (new),7393,<100,1-4 yrs,1,none,4,savings agreement/life insurance,43,none,rent,1,unskilled - resident,2,none,yes,good,single,male,2,1
972,<0,24,all credits at this bank paid back duly,car (new),1193,<100,unemployed,1,co-applicant,4,unknown/no property,29,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,bad,divorced/separated/married,female,0,0
973,<0,60,existing credits paid back duly till now,business,7297,<100,>7 yrs,4,co-applicant,4,unknown/no property,36,none,own,1,skilled employee / official,1,none,yes,bad,single,male,4,0
974,No account,30,critical account/other credits existing (not at this bank),radio/television,2831,<100,1-4 yrs,4,none,2,car or other,33,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
975,>=200,24,existing credits paid back duly till now,radio/television,1258,500-1000,1-4 yrs,3,none,3,car or other,57,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
976,0-200,6,existing credits paid back duly till now,radio/television,753,<100,1-4 yrs,2,guarantor,3,real estate,64,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
977,0-200,18,delay in paying off in the past,business,2427,unknown/no savings account,>7 yrs,4,none,2,savings agreement/life insurance,42,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
978,No account,24,delay in paying off in the past,car (new),2538,<100,>7 yrs,4,none,4,car or other,47,none,rent,2,unskilled - resident,2,none,yes,bad,single,male,4,0
979,0-200,15,all credits at this bank paid back duly,car (new),1264,100-500,1-4 yrs,2,none,2,savings agreement/life insurance,25,none,own,1,skilled employee / official,1,none,yes,bad,married/widowed,male,2,0
980,0-200,30,critical account/other credits existing (not at this bank),furniture/equipment,8386,<100,4-7 yrs,2,none,2,savings agreement/life insurance,49,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,3,0
981,No account,48,existing credits paid back duly till now,business,4844,<100,unemployed,3,none,2,car or other,33,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,0,0
982,>=200,21,existing credits paid back duly till now,car (new),2923,100-500,1-4 yrs,1,none,1,car or other,28,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
983,<0,36,existing credits paid back duly till now,car (used),8229,<100,1-4 yrs,2,none,2,savings agreement/life insurance,26,none,rent,1,skilled employee / official,2,none,yes,bad,single,male,2,0
984,No account,24,critical account/other credits existing (not at this bank),furniture/equipment,2028,<100,4-7 yrs,2,none,2,savings agreement/life insurance,30,none,rent,2,unskilled - resident,1,none,yes,good,single,male,3,1
985,<0,15,critical account/other credits existing (not at this bank),furniture/equipment,1433,<100,1-4 yrs,4,none,3,savings agreement/life insurance,25,none,own,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
986,>=200,42,no credits taken / paid back duly,business,6289,<100,<1 yr,2,none,1,savings agreement/life insurance,33,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated,male,1,1
987,No account,13,existing credits paid back duly till now,radio/television,1409,100-500,unemployed,2,none,4,real estate,64,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,0,1
988,<0,24,existing credits paid back duly till now,car (used),6579,<100,unemployed,4,none,2,unknown/no property,29,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
